plane_group,plane_id,observation_count,first_stamp,last_stamp,duration_s,point_count_mean,point_count_min,point_count_max,normal_angle_std_map_deg,normal_angle_std_odom_deg,d_map_mean,d_map_std,d_odom_mean,d_odom_std,centroid_x_odom_mean,centroid_y_odom_mean,centroid_z_odom_mean,map_to_odom_ratio
x,3,53,1780327182.2475805,1780327310.1480405,127.90046000480652,1268.6037735849056,516.0,1332.0,0.19392597309899995,2.5961590369587944,4.313734567390298,0.005528373169562883,4.470183712132906,0.5423290675064665,1.955209010086483,-4.722050462937714,-3.107823046732573,1.0
x,6,53,1780327182.2475805,1780327310.1480405,127.90046000480652,150.0,150.0,150.0,2.934712942985388e-05,2.632852314479301,4.361056165875129,1.805946488817531e-06,4.526275524133965,0.5498934816554653,3.9536007810021587,-2.0984681005702535,-3.89448561832074,1.0
x,15,46,1780327204.2484934,1780327310.1480405,105.89954710006714,175.0,175.0,175.0,0.2634804848223414,2.4623313454792446,2.656392030093981,0.023747177362171235,2.9432668068807932,0.482744104741729,-2.6896779120882544,-12.118432072037338,-3.1089613809710794,1.0
x,38,32,1780327248.0479808,1780327310.1480405,62.10005974769592,927.6875,132.0,980.0,0.8275065174273281,1.6042906287853511,24.10561901330948,0.39806013219349773,23.842486172704508,0.20147429961784172,-21.896337935682674,9.693566669223056,-4.314463916341331,1.0
y,4,53,1780327182.2475805,1780327310.1480405,127.90046000480652,953.5849056603773,480.0,998.0,0.9520022279570854,2.8689252472323616,2.621855452375592,0.008616796428629139,3.01980324615308,0.4485328208886041,1.655226169012996,2.398341192750228,-2.8776435185806255,1.0
y,10,49,1780327196.4484134,1780327310.1480405,113.699627161026,108.0,108.0,108.0,0.10605581379430556,2.433684833925243,2.668709915511462,0.004633912545713176,3.0912529298135216,0.4703340863373402,3.0149960338790605,1.552510021693802,-2.8711255286895385,1.0
y,17,45,1780327207.6471975,1780327310.1480405,102.5008430480957,513.2666666666667,437.0,749.0,0.23551630009726743,2.6565418365513636,5.925026183658176,0.08380337742574871,6.055078461934404,0.7081616358545847,-1.6668675585829218,-9.79597559728349,-3.1202985660666767,1.0
y,29,36,1780327234.2477384,1780327310.1480405,75.90030217170715,422.0,422.0,422.0,0.6045980997882414,1.3605451042525785,-5.712515804502699,0.08691035755666797,-5.189396039577383,0.41763849717691925,-13.00191405917834,5.229950915372751,-4.393439301662955,1.0
y,31,35,1780327237.8481748,1780327310.1480405,72.29986572265625,354.0,354.0,354.0,0.6348823287520101,1.280042242981622,1.0712835175650461,0.25502650988671577,1.489637997541018,0.5285472091206507,-14.369656312388907,6.361394774859507,-4.245226274076743,1.0
y,33,34,1780327241.4472866,1780327310.1480405,68.70075392723083,2491.705882352941,410.0,2980.0,1.1198197165503037,1.2082247831867277,-4.389973205678603,0.34788350244009153,-3.8708883217747836,0.5185116150383005,-14.031581622664262,5.8820153117518625,-4.383573211594052,1.0
y,37,32,1780327248.0479808,1780327310.1480405,62.10005974769592,237.0,237.0,237.0,0.6856060311499763,1.0339393375455965,0.6204135650768876,0.34078366275091415,1.0876857040275285,0.4205830120217236,-14.567520939051088,7.507444351062,-4.456650558108196,1.0
y,40,31,1780327251.0477014,1780327310.1480405,59.10033917427063,111.0,111.0,111.0,0.6284211486162474,0.9199688959624112,-1.0679301215756325,0.28611335961579504,-0.5692603771854546,0.36653127325987966,-18.84242264780755,13.440142248914217,-4.528528074953312,1.0
y,55,19,1780327284.248013,1780327310.1480405,25.90002751350403,485.0,485.0,485.0,0.9110610651578533,0.5540965667414798,4.068714944939864,0.5487081975050588,4.089187790502855,0.13379461658657937,-2.5218377118012114,5.255297807722327,-3.5157632356804727,1.0
y,57,17,1780327290.4481852,1780327310.1480405,19.6998553276062,140.0,140.0,140.0,1.4516075843543779,0.6773922551624401,2.3422276552985695,0.36271995229487225,2.5066845793193133,0.0600298472468701,-1.2156273444865582,4.245577537606498,-3.562168311275593,1.0
y,65,11,1780327310.1480405,1780327310.1480405,0.0,121.0,121.0,121.0,0.0,0.0,6.589016437530518,0.0,7.648974902611326,0.0,-2.0566660150444047,-10.193356895944916,-4.103748863235634,1.0
