dataset,model,class,hypothesis_id,selection_rule,selected,observation_count,duration_s,support_mean,normal_std_deg,offset_std_m,cx,cy,nx,ny,d,length,latest_state,ever_strong
teste_percepcion_5_0,InGraph,wall_like,1,ever_strong,True,106,21.58187508583069,266.688679245283,0.09580379659763232,0.027223533259962882,-7.83519056,-12.313837334,0.9886973478995971,-0.14992516218534843,5.900767907799898,5.174537659,stale,True
teste_percepcion_5_0,InGraph,wall_like,2,ever_strong,True,191,47.7934045791626,500.6910994764398,0.37910031952005213,0.031229885436500442,-6.359103398,-2.584434815,0.9894524486634979,-0.1448580402801592,5.91770109344671,9.175989151,confirmed,True
teste_percepcion_5_0,InGraph,wall_like,3,ever_strong,True,83,20.978880167007446,153.72289156626505,0.45334940110838395,0.031399715935188414,-4.078784303,-5.032162175,0.14623272046058017,0.9892502168140767,5.574608659905485,1.111512899,stale,True
teste_percepcion_5_0,InGraph,wall_like,4,ever_strong,False,1,0.0,52.0,0.0,0.0,-2.046358465,-5.254819198,0.13943469768674682,0.990231268482775,5.488860148360886,1.762925863,candidate,False
teste_percepcion_5_0,InGraph,wall_like,5,ever_strong,True,90,20.780880212783813,194.22222222222223,0.8797010772354111,0.19337045387751936,-10.924240132,-8.969979228,0.07976758523697897,0.9968134892473423,9.81856271159765,2.248228073,stale,True
teste_percepcion_5_0,InGraph,wall_like,6,ever_strong,False,1,0.0,64.0,0.0,0.0,-2.154711506,-5.237937318,0.14468983851990613,0.9894770591727144,5.494618136609184,1.471059799,candidate,False
teste_percepcion_5_0,InGraph,wall_like,7,ever_strong,False,4,9.419945001602173,168.25,0.16747135597486726,0.038208393696949984,-5.070646839,-4.529960316,0.9901699421298268,-0.13986953100162805,4.3924066351537245,2.089464664,weak_tracked,False
teste_percepcion_5_0,InGraph,wall_like,8,ever_strong,False,70,14.579905033111572,100.21428571428571,0.42170878616246643,1.2446434381633165,-3.489365092,-5.112989333,0.04455312380819931,-0.9990070165714209,-5.074507871046013,3.259346485,stale,False
teste_percepcion_5_0,InGraph,wall_like,10,ever_strong,False,1,0.0,121.0,0.0,0.0,-1.319212752,-5.339485847,0.1403989038853015,0.990095019575296,5.471949526994922,3.617089033,candidate,False
teste_percepcion_5_0,InGraph,wall_like,11,ever_strong,False,1,0.0,152.0,0.0,0.0,-0.183927879,-5.368562578,0.10747808872344031,0.9942074534242621,5.462015851910767,7.507815361,candidate,False
teste_percepcion_5_0,InGraph,pillar_like,12,ever_strong,False,1,0.0,83.0,0.0,0.0,-9.208729791,-9.166628274,0.3880001662876352,0.9216593030837195,2521.4503776023753,1.0,candidate,False
teste_percepcion_5_0,InGraph,wall_like,9,ever_strong,False,2,10.199939966201782,99.5,8.080480876751005e-13,0.10618790169054941,-6.691028396,-4.32228014,0.9877630952477595,-0.15596175065241322,5.935169231133235,3.297275543,weak_tracked,False
teste_percepcion_5_0,InGraph,pipe_like,13,ever_strong,False,2,0.40199995040893555,12.0,1.5888218580782548e-14,47.28234711427689,-3.815803555,-6.683080554,0.9870315387670938,-0.16052645102618818,67.88395176168305,1.0,weak_tracked,False
teste_percepcion_5_0,InGraph,wall_like,14,ever_strong,True,64,13.400919675827026,219.1875,0.5171771741197949,0.013908406201909675,-2.235284024,-4.322448131,0.3471209949579491,0.9378203531910595,4.8304604381738825,4.065314293,stale,True
teste_percepcion_5_0,InGraph,pillar_like,15,ever_strong,False,1,0.0,47.0,0.0,0.0,-8.022337903,-9.240200094,0.3291785536837721,0.9442676949862576,1339.4339133393582,1.0,candidate,False
teste_percepcion_5_0,InGraph,pillar_like,16,ever_strong,False,1,0.0,34.0,0.0,0.0,-8.527483018,-9.306265207,0.3425664086839539,0.9394936166049125,856.4120561695181,1.0,candidate,False
teste_percepcion_5_0,InGraph,pipe_like,17,ever_strong,False,1,0.0,10.0,0.0,0.0,-7.87497642,-9.38471627,0.9638379013265133,-0.26648921172629536,26.772244670774423,1.0,candidate,False
teste_percepcion_5_0,InGraph,wall_like,18,ever_strong,True,120,26.804829835891724,340.2083333333333,0.6183081561826799,0.04059472067853156,-3.964544553,2.202848169,0.9901446483583033,-0.1400484749199788,4.234776619835911,4.473103046,stale,True
teste_percepcion_5_0,InGraph,wall_like,19,ever_strong,True,66,14.222910165786743,126.71212121212122,0.4666494057714864,0.05063232516410847,-5.017777807,-4.1712365,0.9912626935134091,-0.13190251115328042,4.42848992838732,2.911881447,stale,True
teste_percepcion_5_0,InGraph,wall_like,20,ever_strong,True,69,24.40184998512268,293.4927536231884,0.46227791987678696,0.0347212306221512,-4.24538843,0.879420222,0.9900418831977471,-0.14077311360575367,4.485133466051298,5.514767647,stale,True
teste_percepcion_5_0,InGraph,wall_like,21,ever_strong,False,1,0.0,67.0,0.0,0.0,-4.479297877,-1.201893486,0.9828444169501919,-0.18443658007520483,4.202872623379689,3.239430189,candidate,False
