plane_group,plane_id,observation_count,first_stamp,last_stamp,duration_s,point_count_mean,point_count_min,point_count_max,normal_angle_std_map_deg,normal_angle_std_odom_deg,d_map_mean,d_map_std,d_odom_mean,d_odom_std,centroid_x_odom_mean,centroid_y_odom_mean,centroid_z_odom_mean,map_to_odom_ratio
x,3,54,1778158926.4743845,1778159015.5718763,89.09749174118042,430.0,430.0,430.0,0.0,0.569227867849333,4.171250237358941,3.7815646444232185e-07,4.194279604350323,0.043946156872384894,2.9431480695345567,-4.379091125108352,0.6095508974894231,1.0
x,17,46,1778158949.073665,1778159015.5718763,66.49821138381958,105.0,105.0,105.0,4.6740701562011464e-05,0.851295396253769,-5.52713620144388,4.761455883566628e-07,-4.589528124687742,0.6373595189437474,-10.836974998509247,3.501257877860587,-0.8046617171646177,1.0
x,23,43,1778158958.9751592,1778159015.5718763,56.59671711921692,108.0,108.0,108.0,0.00261930901819206,0.9230871218583095,8.040108192798703,3.351599080981852e-06,8.306817927641498,0.190195824638534,-14.272883307459445,-6.801566911410905,-0.5499652763663486,1.0
x,28,41,1778158965.6724327,1778159015.5718763,49.89944362640381,1263.121951219512,668.0,1278.0,0.4751781517350627,1.0353705391618093,5.973682659428294,0.06538294224727297,5.564920542767168,0.25817825160737456,0.30188007775508535,-8.538105355627582,0.43763465004736474,1.0
x,49,30,1778158998.0739324,1778159015.5718763,17.497943878173828,432.0,432.0,432.0,0.6430084961731289,0.6287322145788398,21.553807640075682,0.10110897466653686,22.12259791188452,0.06809006722623147,-21.31305746020416,8.972861000572207,-0.3088065818821194,1.0
x,51,28,1778159004.5741148,1778159015.5718763,10.997761487960815,148.0,148.0,148.0,0.049363514211325656,0.43040361660964627,23.793960980006627,0.00232926027735293,23.914977241106453,0.013778442914228736,-22.785683594649978,7.36065767091848,0.196078854413504,1.0
x,54,26,1778159009.9728096,1778159015.5718763,5.599066734313965,377.0,377.0,377.0,0.033915943187466255,0.0498628106651369,-6.514575261336106,0.001373794683380242,-5.081599172578082,0.0006766587076134601,-13.495671315027487,4.735530269968488,-1.0216104110538298,1.0
y,4,54,1778158926.4743845,1778159015.5718763,89.09749174118042,180.0,180.0,180.0,3.1918165781035023e-07,0.6154360176898357,2.7868959373897977,1.8907823222116093e-07,3.6562763066436106,0.731539018814131,0.48566791431717377,3.6622713204056443,1.024513797851782,1.0
y,13,49,1778158942.0745595,1778159015.5718763,73.49731683731079,1781.591836734694,539.0,2373.0,0.3012689668332045,0.9808851702303549,-4.369357595638353,0.15710226730798096,-3.4339996691818837,0.8430039433059807,-13.028962637158823,4.86648983666943,-0.5819655925646109,1.0
y,32,39,1778158972.4726794,1778159015.5718763,43.099196910858154,136.0,136.0,136.0,1.367131977417053e-07,1.0906170937521522,6.628934860229492,0.0,6.0471759671848435,0.33157384071407414,0.6195395839549435,-7.768598979228366,0.12055795212982587,1.0
y,33,39,1778158972.4726794,1778159015.5718763,43.099196910858154,103.0,103.0,103.0,0.0,1.1015657116790132,6.570874703236115,7.635505380873066e-08,6.0095482398552935,0.3235308660408249,0.5053468388006109,-7.8380911358482335,-0.09134823246235454,1.0
y,42,36,1778158981.5729494,1778159015.5718763,33.998926877975464,2012.3333333333333,413.0,2167.0,0.23570257908199013,0.9698778891793197,-4.34791808658176,0.055723933530424895,-3.1161059993440134,0.5109261959657752,-13.38856202091397,4.762795355214127,-0.7298204584670008,1.0
y,48,30,1778158998.0739324,1778159015.5718763,17.497943878173828,290.0,290.0,290.0,0.649032526280818,0.5005768995653954,-3.6704336722691853,0.20765930924299492,-2.3377438650159896,0.19424084488213597,-17.725440891530223,11.779030655296731,-0.6119048104486652,1.0
y,58,25,1778159012.7729685,1778159015.5718763,2.79890775680542,255.0,255.0,255.0,0.030288506332268664,0.018151160240619607,-5.660059776306152,0.001869964599609375,-4.165790627253681,0.000621593608624238,-14.195332720353527,5.077483924410727,-0.7956727166672068,1.0
