stamp_sec,stamp_nanosec,stamp,message_frame_id,plane_group,plane_id,plane_frame_id,nx_map,ny_map,nz_map,d_map,nx_odom,ny_odom,nz_odom,d_odom,point_count,centroid_x_map,centroid_y_map,centroid_z_map,centroid_x_odom,centroid_y_odom,centroid_z_odom,extent_x_map,extent_y_map,extent_z_map,data_source,map_to_odom_available,odom2map_stamp,odom2map_dt,odom2map_frame_id,odom2map_child_frame_id
1778158926,474384536,1778158926.4743845,,x,3,,-0.9245688306606293,0.37738296338150346,0.05248405777216032,4.171248912811279,-0.9245688306606293,0.37738296338150346,0.05248405777216032,4.171248616258056,430,2.3675468929978303,-5.381910201283389,0.9355445097005645,2.367546250585513,-5.381910988802573,0.9355445057973178,6.244705319404602,15.457261323928833,2.715783953666687,Online,true,1778158926.4743845,0.0,map,odom
1778158926,474384536,1778158926.4743845,,y,4,,-0.3713471579100103,-0.9283431737486875,-0.016740372348680664,2.786895275115967,-0.3713471579100103,-0.9283431737486875,-0.016740372348680664,2.7868943054045783,180,0.42258465157614816,2.8112579663594564,1.3165822989410825,0.42258400916383104,2.8112571788402723,1.3165822950378359,2.7865735292434692,1.1047182083129883,1.2358481884002686,Online,true,1778158926.4743845,0.0,map,odom
1778158929,876087833,1778158929.876088,,x,3,,-0.9245688306606293,0.37738296338150346,0.05248405777216032,4.171248912811279,-0.9245688306606293,0.37738296338150346,0.05248405777216026,4.171247970742086,430,2.3675468929978303,-5.381910201283389,0.9355445097005645,2.3675453178302,-5.381911563957131,0.9355445090938069,6.244705319404602,15.457261323928833,2.715783953666687,Online,true,1778158929.876088,0.0,map,odom
1778158929,876087833,1778158929.876088,,y,4,,-0.3713471579100103,-0.9283431737486875,-0.016740372348680664,2.786895275115967,-0.3713471579100103,-0.9283431737486875,-0.01674037234868021,2.7868934251429196,180,0.42258465157614816,2.8112579663594564,1.3165822989410825,0.4225830764085183,2.811256603685714,1.3165822983343216,2.7865735292434692,1.1047182083129883,1.2358481884002686,Online,true,1778158929.876088,0.0,map,odom
1778158932,874998280,1778158932.8749983,,x,3,,-0.9245688306606293,0.37738296338150346,0.05248405777216032,4.171248912811279,-0.9245688306606293,0.3773829633815035,0.05248405777216022,4.17124847589543,430,2.3675468929978303,-5.381910201283389,0.9355445097005645,2.3675459140426307,-5.381911442360645,0.9355445128595807,6.244705319404602,15.457261323928833,2.715783953666687,Online,true,1778158932.8749983,0.0,map,odom
1778158932,874998280,1778158932.8749983,,y,4,,-0.3713471579100103,-0.9283431737486875,-0.016740372348680664,2.786895275115967,-0.3713471579100103,-0.9283431737486875,-0.01674037234868011,2.786893759491019,180,0.42258465157614816,2.8112579663594564,1.3165822989410825,0.42258367262094876,2.8112567252822003,1.3165823021000944,2.7865735292434692,1.1047182083129883,1.2358481884002686,Online,true,1778158932.8749983,0.0,map,odom
1778158935,874212786,1778158935.8742127,,x,3,,-0.9245688306606293,0.37738296338150346,0.05248405777216032,4.171248912811279,-0.9245688306606293,0.37738296338150346,0.05248405777216036,4.171247519596612,430,2.3675468929978303,-5.381910201283389,0.9355445097005645,2.3675449045652437,-5.381911380756704,0.9355445075096236,6.244705319404602,15.457261323928833,2.715783953666687,Online,true,1778158935.8742127,0.0,map,odom
1778158935,874212786,1778158935.8742127,,y,4,,-0.3713471579100103,-0.9283431737486875,-0.016740372348680664,2.786895275115967,-0.3713471579100103,-0.9283431737486875,-0.016740372348680168,2.786893441724499,180,0.42258465157614816,2.8112579663594564,1.3165822989410825,0.42258266314356185,2.8112567868861413,1.3165822967501384,2.7865735292434692,1.1047182083129883,1.2358481884002686,Online,true,1778158935.8742127,0.0,map,odom
1778158938,975718897,1778158938.975719,,x,3,,-0.9245688297567782,0.3773829630125769,0.05248407634730378,4.171250343322754,-0.924655903189967,0.3775104901064098,0.04997289821057848,4.1721367301246675,430,2.3675468929978303,-5.381910201283389,0.9355445097005645,2.3660482906053906,-5.379851433246298,0.9393970747452369,6.244705319404602,15.457261323928833,2.715783953666687,Online,true,1778158938.975719,0.0,map,odom
1778158938,975718897,1778158938.975719,,y,4,,-0.3713471578752729,-0.9283431736618463,-0.016740377935050125,2.786895990371704,-0.37132373682929276,-0.9283798745464126,-0.015148960502869867,2.786567391768011,180,0.42258465157614816,2.8112579663594564,1.3165822989410825,0.420482857286741,2.814215094642306,1.2973376031470665,2.7865735292434692,1.1047182083129883,1.2358481884002686,Online,true,1778158938.975719,0.0,map,odom
1778158942,74559401,1778158942.0745595,,x,3,,-0.9245688297567782,0.3773829630125769,0.05248407634730378,4.171250343322754,-0.9246559032546194,0.3775104902360049,0.049972896035302104,4.172136869667597,430,2.3675468929978303,-5.381910201283389,0.9355445097005645,2.366048389558676,-5.37985155349824,0.9393970796439216,6.244705319404602,15.457261323928833,2.715783953666687,Online,true,1778158942.0745595,0.0,map,odom
1778158942,74559401,1778158942.0745595,,y,13,,-0.6551122118411784,-0.75507641404003,0.02622210626567015,-4.770768165588379,-0.6551616767990109,-0.75500949053351,0.026904394775542146,-4.770460304421237,539,-12.710488453866821,4.69664081660184,-0.12317114117415363,-12.710062639920942,4.69615841683071,-0.16971007273447666,4.101860046386719,3.5344574451446533,2.6460131406784058,Online,true,1778158942.0745595,0.0,map,odom
1778158942,74559401,1778158942.0745595,,y,4,,-0.3713471578752729,-0.9283431736618463,-0.016740377935050125,2.786895990371704,-0.3713237369072217,-0.9283798745076192,-0.01514896097010218,2.7865673177784447,180,0.42258465157614816,2.8112579663594564,1.3165822989410825,0.4204829564347727,2.814214974758152,1.2973376006847863,2.7865735292434692,1.1047182083129883,1.2358481884002686,Online,true,1778158942.0745595,0.0,map,odom
1778158945,474499382,1778158945.4744995,,x,3,,-0.9245688297567782,0.3773829630125769,0.05248407634730378,4.171250343322754,-0.9290899380526536,0.3665629724046626,0.04922879514242466,4.139318124772537,430,2.3675468929978303,-5.381910201283389,0.9355445097005645,2.4467161873032675,-5.2170469243253335,0.9471641111024337,6.244705319404602,15.457261323928833,2.715783953666687,Online,true,1778158945.4744995,0.0,map,odom
1778158945,474499382,1778158945.4744995,,y,13,,-0.6378297258175666,-0.7699195205027382,0.01992919497424723,-4.560962200164795,-0.6288748841031163,-0.7773099353476213,0.01748269298960951,-4.441914643378474,948,-12.71847628641732,4.581780092122686,-0.0790418210097506,-12.750732923370677,4.570279975892727,-0.11978374703006678,4.101860046386719,3.5344576835632324,2.7038261890411377,Online,true,1778158945.4744995,0.0,map,odom
1778158945,474499382,1778158945.4744995,,y,4,,-0.3713471578752729,-0.9283431736618463,-0.016740377935050125,2.786895990371704,-0.36043265773412214,-0.9326065292259734,-0.018258173068541918,2.922030287947111,180,0.42258465157614816,2.8112579663594564,1.3165822989410825,0.4049767967648072,2.952792377945595,1.3227950161864972,2.7865735292434692,1.1047182083129883,1.2358481884002686,Online,true,1778158945.4744995,0.0,map,odom
1778158945,474499382,1778158945.4744995,,x,3,,-0.9245688297567782,0.3773829630125769,0.05248407634730378,4.171250343322754,-0.9290899380526536,0.3665629724046626,0.04922879514242466,4.139318124772537,430,2.3675468929978303,-5.381910201283389,0.9355445097005645,2.4467161873032675,-5.2170469243253335,0.9471641111024337,6.244705319404602,15.457261323928833,2.715783953666687,Online,true,1778158945.4744995,0.0,map,odom
1778158945,474499382,1778158945.4744995,,y,13,,-0.6378297258175666,-0.7699195205027382,0.01992919497424723,-4.560962200164795,-0.6288748841031163,-0.7773099353476213,0.01748269298960951,-4.441914643378474,948,-12.71847628641732,4.581780092122686,-0.0790418210097506,-12.750732923370677,4.570279975892727,-0.11978374703006678,4.101860046386719,3.5344576835632324,2.7038261890411377,Online,true,1778158945.4744995,0.0,map,odom
1778158945,474499382,1778158945.4744995,,y,4,,-0.3713471578752729,-0.9283431736618463,-0.016740377935050125,2.786895990371704,-0.36043265773412214,-0.9326065292259734,-0.018258173068541918,2.922030287947111,180,0.42258465157614816,2.8112579663594564,1.3165822989410825,0.4049767967648072,2.952792377945595,1.3227950161864972,2.7865735292434692,1.1047182083129883,1.2358481884002686,Online,true,1778158945.4744995,0.0,map,odom
1778158949,73664916,1778158949.073665,,x,17,,-0.7172382311751899,-0.6968184551972888,-0.0036551658168883267,-5.527134418487549,-0.7090451465172217,-0.7051342874258717,-0.006373138691388251,-5.4162917174154614,105,-10.9355988184611,3.327577150435675,-0.32582460599286217,-10.952480219140144,3.337008538133917,-0.36039098524720253,0.6955575942993164,0.710240364074707,1.986428678035736,Online,true,1778158949.073665,0.0,map,odom
1778158949,73664916,1778158949.073665,,x,3,,-0.9245688297567782,0.3773829630125769,0.05248407634730378,4.171250343322754,-0.9290899428474192,0.3665629605445372,0.049228792963097,4.139313130043875,430,2.3675468929978303,-5.381910201283389,0.9355445097005645,2.446709605955219,-5.217050114250755,0.9471641373811122,6.244705319404602,15.457261323928833,2.715783953666687,Online,true,1778158949.073665,0.0,map,odom
1778158949,73664916,1778158949.073665,,y,13,,-0.6378297612207989,-0.7699194912893953,0.01992919049277618,-4.560962200164795,-0.6288749099145943,-0.7773099145864171,0.017482687595680647,-4.441921330903755,948,-12.71847628641732,4.581780092122686,-0.0790418210097506,-12.750739627781414,4.570276590717526,-0.11978375892984816,4.101860046386719,3.5344576835632324,2.7038261890411377,Online,true,1778158949.073665,0.0,map,odom
