dataset,model,class,hypothesis_id,selection_rule,selected,observation_count,duration_s,support_mean,normal_std_deg,offset_std_m,cx,cy,nx,ny,d,length,latest_state,ever_strong
walls_pillars_3,InGraph,wall_like,1,ever_strong,True,163,37.80573558807373,720.1779141104295,0.4650340387961372,0.0177560054113601,1.270113524,2.203195147,0.5729129749333655,0.819616204789169,-2.533834406392465,6.804582596,stale,True
walls_pillars_3,InGraph,wall_like,2,ever_strong,True,252,52.20269560813904,937.8293650793651,0.47115487102705894,0.11155811789226695,-2.291581315,-10.573273825,0.8243449982723098,-0.566087735093621,-4.096487577491634,10.161934853,stale,True
walls_pillars_3,InGraph,wall_like,3,ever_strong,True,88,20.600805521011353,175.02272727272728,0.46428954293232366,0.08764274426421904,-3.093264277,-11.593214697,0.7878925404260835,-0.6158127513627274,-4.704406996459487,1.559633255,stale,True
walls_pillars_3,InGraph,pillar_like,4,ever_strong,True,73,23.603795528411865,73.98630136986301,12.761486698054851,138.1631784401492,4.592623429,-0.3039418,0.559801976164672,-0.8286264221482007,-204.11411604632832,1.0,stale,True
walls_pillars_3,InGraph,pipe_like,5,ever_strong,True,88,22.80279564857483,10.170454545454545,12.165358869836895,5.662427027043874,1.220029968,0.548629594,0.3473942246499548,0.9377191758089715,-8.623975368447269,1.0,stale,True
walls_pillars_3,InGraph,pillar_like,6,ever_strong,True,147,36.998735666275024,91.1360544217687,19.551921872884474,300.9755413644272,0.97779629,-4.909742029,0.3241572140591866,0.9460032243990432,227.61241827435725,1.0,stale,True
walls_pillars_3,InGraph,pillar_like,7,ever_strong,True,66,25.178785800933838,66.95454545454545,16.047637185629142,137.15064007559837,-0.534262529,2.969684748,0.9061579111910734,-0.42293952284674335,63.667038983301715,1.0,stale,True
walls_pillars_3,InGraph,pillar_like,8,ever_strong,True,93,23.000795602798462,96.08602150537635,8.724837596420274,166.74831436778683,-5.397151313,-4.070321566,0.6254345372279265,-0.7802766430199545,19.74982447274281,1.0,stale,True
walls_pillars_3,InGraph,pipe_like,9,ever_strong,False,3,15.623825550079346,14.333333333333334,31.33950886328178,594.7351974680539,-0.959618387,-4.922546986,0.8851448379390814,-0.4653156088826134,-145.28002512999424,1.0,weak_tracked,False
walls_pillars_3,InGraph,wall_like,10,ever_strong,False,5,4.976870775222778,521.2,0.5365298379171797,0.02998644549700907,0.673107971,2.594181898,0.5433588092902746,0.839500568413539,-2.562477600855352,12.141163826,weak_tracked,False
walls_pillars_3,InGraph,wall_like,11,ever_strong,False,1,0.0,175.0,0.0,0.0,2.958114804,0.887868221,0.5763274579351665,0.8172188576079169,-2.4353160661860977,1.691877365,candidate,False
walls_pillars_3,InGraph,pipe_like,12,ever_strong,False,1,0.0,11.0,0.0,0.0,-0.250070449,-3.831690473,0.5412368052530425,-0.8408702162875554,-30.784484539079422,1.0,candidate,False
walls_pillars_3,InGraph,pipe_like,13,ever_strong,False,2,4.817870855331421,14.5,0.0,2.763442375766111,3.382051283,-1.874205477,0.8516502215340026,0.5241105800888628,-30.904510385950275,1.0,weak_tracked,False
walls_pillars_3,InGraph,wall_like,14,ever_strong,False,2,1.802994966506958,258.0,2.7185758398994893e-12,0.013168268450907692,-3.099965191,-0.290206682,0.8238912764855985,-0.5667478844521002,2.389601404358432,4.384124756,weak_tracked,False
walls_pillars_3,InGraph,wall_like,15,ever_strong,False,1,0.0,412.0,0.0,0.0,-0.175010675,-7.765732043,0.8194717617167819,-0.5731195614780512,-4.307615931627522,5.169234276,candidate,False
walls_pillars_3,InGraph,wall_like,16,ever_strong,False,1,0.0,453.0,0.0,0.0,-0.164624626,-7.697659375,0.815318578327678,-0.5790126214805115,-4.323311207468691,5.240606785,candidate,False
walls_pillars_3,InGraph,wall_like,17,ever_strong,False,1,0.0,417.0,0.0,0.0,-0.258502704,-7.931060925,0.8220219252731589,-0.5694558405795918,-4.30417358922295,5.255001545,candidate,False
walls_pillars_3,InGraph,pillar_like,18,ever_strong,False,1,0.0,30.0,0.0,0.0,-1.030501727,-4.828272834,0.45727767280923437,0.8893239735609125,275.8734653841215,1.0,candidate,False
walls_pillars_3,InGraph,wall_like,19,ever_strong,False,1,0.0,483.0,0.0,0.0,-0.149365414,-7.707096722,0.8172131285239967,-0.5763355815564588,-4.320410405895981,5.345614433,candidate,False
walls_pillars_3,InGraph,wall_like,21,ever_strong,False,1,0.0,487.0,0.0,0.0,-0.112735439,-7.705025627,0.8219806095563713,-0.5695154760964238,-4.296597877019594,5.389132023,candidate,False
walls_pillars_3,InGraph,wall_like,22,ever_strong,False,2,9.60595989227295,313.0,3.804334027390787e-13,0.12174222625465729,-0.504197188,-8.19444638,0.8040558870342113,-0.5945537238346319,-4.552795765439628,5.575423241,weak_tracked,False
walls_pillars_3,InGraph,wall_like,23,ever_strong,True,37,8.219964742660522,54.37837837837838,0.16836878327025198,0.013464166690786789,-7.34481333,8.24471156,0.5697117509026278,0.8218445843853096,-2.591465829439487,2.16382885,stale,True
walls_pillars_3,InGraph,pillar_like,24,ever_strong,True,136,31.799880027770996,107.76470588235294,16.21642763464594,291.22418350285085,-2.432380684,-10.026019778,0.8804060219560491,-0.4742206622486251,-146.30204646312993,1.0,stale,True
walls_pillars_3,InGraph,wall_like,25,ever_strong,False,1,0.0,162.0,0.0,0.0,-2.925668662,0.007344034,0.8389722448367164,-0.5441742114375145,2.5053858855096367,5.169992447,candidate,False
walls_pillars_3,InGraph,wall_like,26,ever_strong,False,1,0.0,256.0,0.0,0.0,-9.413453574,1.645602144,0.8223640527182301,-0.5689616549442045,8.683466408551324,11.130592346,candidate,False
walls_pillars_3,InGraph,wall_like,27,ever_strong,False,1,0.0,76.0,0.0,0.0,-0.157658811,-7.460279272,0.8095883128304483,-0.5869980951658601,-4.2536239706620735,1.023296833,candidate,False
walls_pillars_3,InGraph,wall_like,28,ever_strong,False,1,0.0,70.0,0.0,0.0,4.46557965,-1.30468889,0.8157480540571908,-0.5784073930214814,-4.399692440329967,1.476009369,candidate,False
walls_pillars_3,InGraph,wall_like,30,ever_strong,False,2,0.6179947853088379,155.0,9.864890917910158e-13,0.0014347544793060435,3.466121586,-2.842308417,0.8089612526131368,-0.5878619665963981,-4.476568372433744,4.39531374,weak_tracked,False
walls_pillars_3,InGraph,wall_like,31,ever_strong,False,1,0.0,216.0,0.0,0.0,3.49281434,-2.939250888,0.8015126249803614,-0.5979778524302473,-4.558656004209336,4.494811058,candidate,False
walls_pillars_3,InGraph,pipe_like,32,ever_strong,False,1,0.0,13.0,0.0,0.0,-0.915487192,-5.003976676,0.36385699672400634,-0.9314548222726567,-59.66448525580485,1.0,candidate,False
walls_pillars_3,InGraph,wall_like,33,ever_strong,False,1,0.0,56.0,0.0,0.0,4.832059842,-0.556797461,0.6001189485030121,0.7999107748040647,-2.454447472765608,1.0,candidate,False
walls_pillars_3,InGraph,wall_like,34,ever_strong,False,1,0.0,334.0,0.0,0.0,3.649104033,-2.745513306,0.7999189648020576,-0.6001080317326244,-4.566602415711054,4.648173332,candidate,False
walls_pillars_3,InGraph,wall_like,35,ever_strong,False,1,0.0,129.0,0.0,0.0,3.522370492,-3.05791761,0.7916527402619712,-0.6109713077025074,-4.657364934597019,4.501583576,candidate,False
walls_pillars_3,InGraph,wall_like,36,ever_strong,True,20,3.9929850101470947,212.2,0.37067839061668023,0.11108361796731264,3.391889904,-2.51745924,0.8219878360908698,-0.569505045911491,-4.221814372276029,4.17986393,confirmed,True
walls_pillars_3,InGraph,wall_like,37,ever_strong,False,1,0.0,63.0,0.0,0.0,-4.213764492,-13.237225711,0.8081835660780795,-0.5889306610470526,-4.393836856081235,1.768332481,candidate,False
walls_pillars_3,InGraph,wall_like,38,ever_strong,False,3,12.821939706802368,176.66666666666666,0.9578408238373305,0.34871219617220434,-0.853756972,-8.589331426,0.8427841086034914,-0.5382517499139398,-3.9573638782026674,10.269032478,weak_tracked,False
