ingraph_wall_id,sgraphs_wall_id,angle_difference_deg,plane_offset_difference_m,segment_gap_m,normalized_match_cost,sgraphs_candidates_for_ingraph_wall,ingraph_candidates_for_sgraphs_wall
183,x:3,3.340844554841318,0.18196464294464043,0.0,0.404687613267395,1,9
110,x:6,3.475568346054569,0.28139951982412104,0.0,0.513104076227759,2,6
88,y:40,2.065974619937356,0.39719715639060316,0.0,0.5349287977197602,1,1
104,y:10,4.94511910408681,0.41141648846241274,0.0,0.7410910954015335,2,3
111,y:4,6.877328611825094,0.4210756033145735,0.0,0.8795641774362464,2,6
77,x:38,6.734421506972427,0.6841655949991647,0.0,1.1331270287973265,1,1
