dataset,model,metric_status,processed_frames,processing_ms_median,processing_ms_p95,processing_ms_max,final_id_switch_rate,final_normal_variance_per_track,wall_observations,pillar_observations,pipe_observations,note
walls_pillars_3,InGraph,available,702,47.1138125,58.49761445,75.387728,0.010789,0.043980,2492,1739,105,No equivalent S-Graphs runtime metrics are present in the current artifacts.
walls_pillars_3,S-Graphs,not_available,,,,,,,,,,The recorded S-Graphs artifacts do not expose equivalent runtime or ID-switch metrics.
unpaired_ingraph_20260603_014722,InGraph,available,240,29.140532,58.6347369,84.083579,0.003803,0.092127,1311,18,165,No equivalent S-Graphs runtime metrics are present in the current artifacts.
