evaluation_scope,dataset,model,structure_class,annotation_id,annotation_class,nearest_predictions,aligned_predictions,best_prediction_id,best_match_cost,best_angle_error_deg,best_offset_error_m,best_segment_gap_m,best_overlap_ratio,best_xy_error_m,source_file,source_dataset
walllike_boundary,walls_pillars_3,InGraph,pillar,pillar_07,pillar,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,InGraph,pillar,pillar_08,pillar,1,1,98,0.536208,,,,,0.294914,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,InGraph,pillar,pillar_09,pillar,1,0,63,12.412549,,,,,6.826902,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,InGraph,pillar,pillar_10,pillar,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,InGraph,pillar,pillar_11,pillar,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,InGraph,pillar,pillar_12,pillar,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,InGraph,pillar,pillar_13,pillar,1,1,81,0.258472,,,,,0.142160,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,InGraph,pillar,pillar_14,pillar,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,InGraph,pillar,pillar_15,pillar,1,1,7,0.186039,,,,,0.102322,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,S-Graphs,wall,wall_01,wall,5,2,x:6,0.942581,3.598477,0.197109,0.000000,0.998028,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
