plane_group,plane_id,observation_count,first_stamp,last_stamp,duration_s,point_count_mean,point_count_min,point_count_max,normal_angle_std_map_deg,normal_angle_std_odom_deg,d_map_mean,d_map_std,d_odom_mean,d_odom_std,centroid_x_odom_mean,centroid_y_odom_mean,centroid_z_odom_mean,map_to_odom_ratio
x,3,18,1773928437.537269,1773928480.9364333,43.3991641998291,2060.0,422.0,2744.0,0.07131325372172548,1.0784903753926283,5.859982384575738,0.020536738990662384,5.752153307056811,0.11672155740417703,-6.113846074592988,-4.271072001011699,-1.8392816253327073,1.0
x,12,10,1773928462.136404,1773928480.9364333,18.800029277801514,142.0,142.0,142.0,0.023975021551595713,0.12957906836845712,6.316201639175415,0.001194267333847863,6.274719450382633,0.01918288864420239,-6.42353326668551,-0.7706710040071896,-0.9866483491111291,1.0
y,10,11,1773928459.7369542,1773928480.9364333,21.19947910308838,133.0,133.0,133.0,2.621481579288887e-05,0.1349201970968668,5.020070336081765,3.7264366986897977e-06,5.884525041389253,0.029918129490485987,-0.8271634008057988,6.4661755306853195,-1.895686819061793,1.0
y,14,9,1773928466.5373833,1773928480.9364333,14.399049997329712,138.0,138.0,138.0,0.0015623611044010535,0.09395254576069427,4.0691512955559626,7.613499959309895e-05,4.988820517368027,0.025352671064600214,-0.7694908069521228,5.142810583147459,-2.01390434288786,1.0
y,16,9,1773928466.5373833,1773928480.9364333,14.399049997329712,150.0,150.0,150.0,0.00843746763645072,0.08838129542032251,3.9920752578311496,0.0004154046376546224,4.912390059530626,0.024303420465027564,0.3048762342667329,4.971351506902686,-1.635840839546589,1.0
y,22,5,1773928478.7371433,1773928480.9364333,2.1992900371551514,245.0,245.0,245.0,0.006099975762985136,0.005280167444217324,5.561884593963623,0.0004962282355920802,6.50436133281833,0.0004099582830099399,4.505540976317879,5.3845688379595,-1.9708032218183846,1.0
