stamp_sec,stamp_nanosec,stamp,message_frame_id,plane_group,plane_id,plane_frame_id,nx_map,ny_map,nz_map,d_map,nx_odom,ny_odom,nz_odom,d_odom,point_count,centroid_x_map,centroid_y_map,centroid_z_map,centroid_x_odom,centroid_y_odom,centroid_z_odom,extent_x_map,extent_y_map,extent_z_map,data_source,map_to_odom_available,odom2map_stamp,odom2map_dt,odom2map_frame_id,odom2map_child_frame_id
1773928437,537269148,1773928437.537269,,x,3,,0.9884014223435726,-0.1513291462715514,-0.012732548760007277,5.888017177581787,0.9884014223435726,-0.1513291462715514,-0.012732548760007277,5.88801773546804,422,-7.265957251544247,-8.430169153552484,-1.54533830270948,-7.265957917096269,-8.430169814186414,-1.5453383006002779,1.473127841949463,9.645084381103516,2.2407679557800293,Online,true,1773928437.537269,0.0,map,odom
1773928437,537269148,1773928437.537269,,x,3,,0.9884014223435726,-0.1513291462715514,-0.012732548760007277,5.888017177581787,0.9884014223435726,-0.1513291462715514,-0.012732548760007277,5.88801773546804,422,-7.265957251544247,-8.430169153552484,-1.54533830270948,-7.265957917096269,-8.430169814186414,-1.5453383006002779,1.473127841949463,9.645084381103516,2.2407679557800293,Online,true,1773928437.537269,0.0,map,odom
1773928437,537269148,1773928437.537269,,x,3,,0.9884014223435726,-0.1513291462715514,-0.012732548760007277,5.888017177581787,0.9884014223435726,-0.1513291462715514,-0.012732548760007277,5.88801773546804,422,-7.265957251544247,-8.430169153552484,-1.54533830270948,-7.265957917096269,-8.430169814186414,-1.5453383006002779,1.473127841949463,9.645084381103516,2.2407679557800293,Online,true,1773928437.537269,0.0,map,odom
1773928448,736647642,1773928448.7366476,,x,3,,0.9884014223435726,-0.1513291462715514,-0.012732548760007277,5.888017177581787,0.9884014223435726,-0.15132914627155136,-0.012732548760007095,5.888019323892035,650,-7.061945160352267,-7.046207262919499,-1.680677389731774,-7.061947620420157,-7.0462091476992486,-1.6806773899079348,1.905177116394043,11.219288349151611,2.3006293773651123,Online,true,1773928448.7366476,0.0,map,odom
1773928450,937164871,1773928450.9371648,,x,3,,0.9884014223435726,-0.1513291462715514,-0.012732548760007277,5.888017177581787,0.9884014223435726,-0.15132914627155136,-0.012732548760007057,5.888021096677314,1130,-6.873969610180475,-5.952913339686605,-1.7518593073946185,-6.873973960657431,-5.952915856637249,-1.7518593100721915,1.905177116394043,11.557163834571838,2.402132987976074,Online,true,1773928450.9371648,0.0,map,odom
1773928453,737106852,1773928453.7371068,,x,3,,0.9884014223435726,-0.1513291462715514,-0.012732548760007277,5.888017177581787,0.9884014223435726,-0.1513291462715514,-0.012732548760007057,5.888022112110508,1591,-6.740484107297445,-5.072246821663951,-1.7847325464676642,-6.7404894817417444,-5.07224931621556,-1.78473255285315,1.911013126373291,12.513219952583313,2.500385284423828,Online,true,1773928453.7371068,0.0,map,odom
1773928456,537415149,1773928456.5374153,,x,3,,0.9871644890661488,-0.15942707523618185,-0.009448767560162724,5.8365678787231445,0.992837207071562,-0.11922906488294843,-0.00766226738493134,5.926490577263189,2259,-6.478063891977797,-3.577945722078211,-1.8000915198792604,-6.387402472434304,-3.610149708177398,-1.802181295356967,2.386263847351074,17.244797706604004,2.500385284423828,Online,true,1773928456.5374153,0.0,map,odom
1773928459,736954301,1773928459.7369542,,x,3,,0.9874952802353496,-0.15739789239838084,-0.008886786902824762,5.846818923950195,0.9999542657166263,0.008360222066454913,-0.004644691822114772,5.660091563177387,2744,-6.267801722354166,-2.607544346861867,-1.8527250309901058,-5.561943039203613,-2.7219983994661523,-1.859042258926994,2.897531509399414,17.24088191986084,2.631202220916748,Online,true,1773928459.7369542,0.0,map,odom
1773928459,736954301,1773928459.7369542,,y,10,,0.001960119437882564,-0.9999980786300845,-2.5844308403583286e-05,5.020063400268555,0.16758178073005178,-0.9858581377911328,-0.00028092409046789706,5.863418775386451,133,-0.07484012438838643,5.665054679813242,-1.755503176746512,-0.8253540011086589,6.462058522960729,-1.732777343812022,2.1884372234344482,0.29889726638793945,1.4204453229904175,Online,true,1773928459.7369542,0.0,map,odom
1773928462,136404019,1773928462.136404,,x,12,,0.9520218488168929,-0.30528796090563204,0.02129930283710192,6.312983989715576,0.9893412548065154,-0.14339228003267906,0.02534828524574328,6.2619564030738415,142,-6.790263243124518,-0.5523793286001178,-0.8600004550436853,-6.42181837231181,-0.7827439312496676,-0.8680516830287689,2.255697250366211,6.957106113433838,1.241450548171997,Online,true,1773928462.136404,0.0,map,odom
