dataset,window_index,total_windows,topic,total_topic_messages,start_message,end_message,sampled_messages,first_time_sec,last_time_sec,points_plotted,output_png
teste_percepcion_5_0,1,4,/velodyne/points,240,0,39,40,1773928437.935401917,1773928445.730071306,62460,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/plots_overlay/lidar_overlay_window_01.png
teste_percepcion_5_0,2,4,/velodyne/points,240,67,106,40,1773928451.356101274,1773928459.131248474,44109,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/plots_overlay/lidar_overlay_window_02.png
teste_percepcion_5_0,3,4,/velodyne/points,240,133,172,40,1773928464.535706282,1773928472.337897778,38163,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/plots_overlay/lidar_overlay_window_03.png
teste_percepcion_5_0,4,4,/velodyne/points,240,200,239,40,1773928477.923401594,1773928485.733541965,28277,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/plots_overlay/lidar_overlay_window_04.png
